"UID","PID","LEGTYPE","CHAMBER","CHAMBERRANK","STATECODE","STATE","DISTRICT","DISTRAIL","DISTYPE","PARTYRANK","PERCENTVOT","ELECTDATE","REELECTYR","ELECTCODE","FECLINK","PYRACUSC","CYRACUSC","PYRADASC","CYRADASC","PYRAFLSC","CYRAFLSC","PYRUSCOSC","CYRUSCOSC","STATUSID","STATUS","DISTRICTID","SEATID","PARTYCODE","FIRSTNAME","LASTNAME","MIDNAME","NICKNAME","PREFIX","GENSUFFIX","TITLE","PROFSUFFIX","GENDER","LEGALNAME","PRONUNCTON","BIRTHPLACE","BIRTHYEAR","BIRTHMONTH","BIRTHDATE","MARITAL","SPOUSE","RESIDENCE","FAMILY","RELIGCODE","RELIGION","ETHCODE","ETHNICS","INCUMBENT","CUROFC","CUROFCUID","REOFC1","REOFC1DATE","REOFC2","REOFC2DATE","RECOCCODE1","RECENTOCC1","RECOCCODE2","RECENTOCC2","SCHOOL1","DEGREE1","EDUDATE1","SCHOOL2","DEGREE2","EDUDATE2","SCHOOL3","DEGREE3","EDUDATE3","MILBRANCH1","MILRANK1","MILDATES1","MILBRANCH2","MILRANK2","MILDATES2","MAILNAME","MAILTITLE","MAILADDR1","MAILADDR2","MAILADDR3","MAILADDR4","MAILADDR5","EMAIL","WEBFORM","WEBSITE","WEBLOG","FACEBOOK","TWITTER","YOUTUBE","PHOTOPATH","PHOTOFILE"
7540,267202,"FLE","H",,"AZ","Arizona","06","","",,61.899999999999999,"11/6/2012","","G","H4AZ06045",,,,,,,,,1,"Unofficial Results",214,220,"R","David","Schweikert","","David","Rep.","","US Representative Elect","","M","David Schweikert","SHWY-kurt","Los Angeles, CA","1962","03","03","Married","Joyce","Fountain Hills, AZ","","ROC","Roman Catholic",5,"White/Caucasian","","US Representative for Arizona District 5",21767,"Candidate, U.S. House of Representatives","2008","Treasurer, Maricopa County (AZ)","2004-2007","REL","Owner, Broker","","","Arizona State University","M.B.A.","2005","Arizona State University","B.A.","1987","Scottsdale Community College (AZ)","A.A.","1985","","","","","","","Rep. David Schweikert","US Representative Elect","Room 1205","LHOB- Longworth House Office Building","Independence and New Jersey Avenues, SE","","Washington, DC 20515-0305","","http://schweikert.house.gov/contact-form","http://schweikert.house.gov/","","http://www.facebook.com/repdavidschweikert","http://twitter.com/RepDavid","http://www.youtube.com/RepDavidSchweikert","Images\Photos\FLE\H","Schweikert_David_267202.jpg"
7553,248491,"FLE","H",,"CA","California","08","","",,57.600000000000001,"11/6/2012","","G","H2CA08164",,,,,,,,,1,"Unofficial Results",423,857,"R","Paul","Cook","J.","Paul","Hon.","","US Representative Elect","","M","Paul J. Cook","","Meriden, CT","1943","03","03","Married","Jeanne","Yucca Valley, CA","2 children","CAT","Catholic",5,"White/Caucasian","","",,"Chairman, CA State Assembly Committee on Veterans Affairs","2012","Member (CA065 R), CA State Assembly","2006-2012","EDU","Faculty","BUS","Former Executive Director","California State University (CA)","M.P.A.","2006-2012","University of California – Riverside","M.A.","2006-2012","Southern Connecticut State University","B.S.","2006-2012","U.S. Marine Corps","Col","2006-2012","","","","Hon. Paul Cook","US Representative Elect","","","PO Box 365","","Yucca Valley, CA 92286","info@joinpaulcook.com","","http://www.joinpaulcook.com/","","http://www.facebook.com/electpaulcook","http://twitter.com/joinpaulcook","http://www.youtube.com/joinpaulcook","Images\Photos\FLE\H","Cook_Paul_248491.jpg"
7566,289367,"FLE","H",,"CA","California","21","","",,59.899999999999999,"11/6/2012","","G","H2CA20094",,,,,,,,,1,"Unofficial Results",436,870,"R","David","Valadao","G.","David","Hon.","","US Representative Elect","","M","David G. Valadao","","Hanford, CA","1977","04","14","Married","Terra","Hanford, CA","3 children ","CAT","Catholic",2,"Hispanic/Latino","","",,"Vice Chair, CA State Assembly Committee on Agriculture","2012","Member (CA030 R), CA State Assembly","2010-2012","AGR","Farmer","AGR","Managing Partner","College of the Sequoias (CA)","","2010-2012","Hanford High School","","1995","","","","","","","","","","Hon. David Valadao","US Representative Elect","","","PO Box 839","","Hanford, CA 93232","info@valadaoforcongress.com","","http://www.valadaoforassembly.com/","","","http://twitter.com/dgvaladao","","Images\Photos\FLE\H","Valadao_David_289367.jpg"
7578,158746,"FLE","H",,"CA","California","33","","",,53.700000000000003,"11/6/2012","","G","H6CA24048",,,,,,,,,1,"Unofficial Results",448,882,"D","Henry","Waxman","A.","Henry","Rep.","","US Representative Elect","","M","Henry Arnold Waxman","WAKS-muhn","Los Angeles, CA","1939","09","12","Married","Janet Kessler","Los Angeles, CA","2 children ;  5 grandchildren ","JEW","Jewish",5,"White/Caucasian","","US Representative for California District 30",21796,"Member, CA State Assembly","1969-1974","President, CA Federation of Young Democrats","1965-1967","LAW","Attorney","","","University of California - Los Angeles","J.D.","1964","University of California - Los Angeles","B.A.","1961","","","","","","","","","","Rep. Henry Waxman","US Representative Elect","Room 2204","RHOB- Rayburn House Office Building","Independence Avenue and 1st Street, SW","","Washington, DC 20515-0530","","https://waxman.house.gov/contact-me/email-me","http://waxman.house.gov","","http://www.facebook.com/Rep.HenryWaxman","","http://www.youtube.com/user/RepHenryWaxman/","Images\Photos\FLE\H","Waxman_Henry_158746.jpg"
7590,208499,"FLE","H",,"CA","California","45","","",,59.399999999999999,"11/6/2012","","G","H6CA48039",,,,,,,,,1,"Unofficial Results",460,894,"R","John","Campbell","","John","Rep.","","US Representative Elect","","M","John B.T. Campbell III","CAM bell","Los Angeles, CA","1955","07","19","Married","Catherine","Irvine, CA","2 children","PRE","Presbyterian",5,"White/Caucasian","","US Representative for California District 48",21814,"Member, CA State Senate","2005","Co-Chair, Rescue California-Recall Gray Davis","2003","BUS","Chair and CEO","BUS","President and CEO","University of Southern California","M.A.","1977","University of California - Los Angeles","B.A.","1976","","","","","","","","","","Rep. John Campbell","US Representative Elect","Room 1507","LHOB- Longworth House Office Building","Independence and New Jersey Avenues, SE","","Washington, DC 20515-0548","","http://forms.house.gov/campbell/webforms/issue_subscribe.htm","http://campbell.house.gov","","http://www.facebook.com/JohnCampbell","http://twitter.com/RepJohnCampbell","http://www.youtube.com/user/RepJohnCampbellCA48","Images\Photos\FLE\H","Campbell_John_208499.jpg"
7603,193118,"FLE","H",,"CO","Colorado","05","","",,65,"11/6/2012","","G","H6CO05159",,,,,,,,,1,"Unofficial Results",593,1029,"R","Doug","Lamborn","","Doug","Rep.","","US Representative","","M","Douglas L. Lamborn","LAM-born","Leavenworth, KS","1954","05","24","Married","Jeanie","Colorado Springs, CO","5 children","CHC","Christian Church",5,"White/Caucasian","Y","US Representative for Colorado District 5",21824,"President Pro Tempore, CO State Senate","1999-2000","Member, CO State Senate","1997-2006","LAW","Associate","","","University of Kansas School of Law","J.D.","1985","University of Kansas School of Journalism","B.S.","1978","","","","","","","","","","Rep. Doug Lamborn","US Representative","Room 2402","RHOB- Rayburn House Office Building","Independence Avenue and 1st Street, SW","","Washington, DC 20515-0605","","https://lambornforms.house.gov/index.cfm?sectionid=138","http://lamborn.house.gov","","http://www.facebook.com/pages/Congressman-Doug-Lamborn/45059452286","","http://www.youtube.com/user/CongressmanLamborn","Images\Photos\FLE\H","Lamborn_Doug_193118.jpg"
7616,205747,"FLE","H",,"FL","Florida","04","","",,76.099999999999994,"11/6/2012","","G","H0FL04066",,,,,,,,,1,"Unofficial Results",971,1413,"R","Ander","Crenshaw","","Ander","Rep.","","US Representative","","M","Ander Crenshaw","KREN-shaw","Jacksonville, FL","1944","09","01","Married","Katherine Kirk","Jacksonville, FL","2 children","EPI","Episcopalian",5,"White/Caucasian","Y","US Representative for Florida District 4",30191,"Member, FL Constitutional Revision Commission","1997-1998","Candidate, Governor of FL","1994","BUS","Senior Vice President","LAW","Senior Vice President","University of Florida College of Law","J.D.","1969","University of Georgia","Bach. Deg.","1966","Robert E. Lee High School (FL)","","1966","","","","","","","Rep. Ander Crenshaw","US Representative","Room 440","CHOB- Cannon House Office Building","Independence Avenue and 1st Street, SE","","Washington, DC 20515-0904","","http://forms.house.gov/htbin/formproc_za/write/crenshaw/zip-auth.txt&form=/write/crenshaw/email.shtml?required-zip5=32204&zip4=4151","http://crenshaw.house.gov","","http://www.facebook.com/pages/Congressman-Ander-Crenshaw/200388204657","http://twitter.com/AnderCrenshaw","http://www.youtube.com/user/RepAnderCrenshaw","Images\Photos\FLE\H","Crenshaw_Ander_205747.jpg"
7629,267175,"FLE","H",,"FL","Florida","17","","",,58.600000000000001,"11/6/2012","","G","H8FL16022",,,,,,,,,1,"Unofficial Results",984,1426,"R","Thomas","Rooney","J.","Tom","Rep.","","US Representative Elect","","M","Thomas J. Rooney","ROO-nee","Philadelphia, PA","1970","11","21","Married","Tara","Tequesta, FL","3 children","CAT","Catholic",5,"White/Caucasian","","US Representative for Florida District 16",21849,"Assistant Attorney General, State of Florida","2004-2006","","","LAW","Associate","BUS","CEO","University of Miami Law School (FL)","J.D.","1999","University of Florida","M.A.","1996","Washington and Jefferson College (PA)","B.A.","1993","U.S. Army","","1993","U.S. Army","","1993","Rep. Thomas Rooney","US Representative Elect","Room 1529","LHOB- Longworth House Office Building","Independence and New Jersey Avenues, SE","","Washington, DC 20515-0916","","http://forms.house.gov/rooney/webforms/issue_subscribe.html","http://www.rooney.house.gov","","http://www.facebook.com/reptomrooney","http://twitter.com/TomRooney","http://www.youtube.com/user/CongressmanRooney","Images\Photos\FLE\H","Rooney_Thomas_267175.jpg"
7641,193800,"FLE","H",,"GA","Georgia","03","","",,100,"11/6/2012","","G","H4GA08067",,,,,,,,,1,"Unofficial Results",1155,1599,"R","Lynn","Westmoreland","A.","Lynn","Rep.","","US Representative","","M","Lynn A. Westmoreland","west-MOR-luhnd","Atlanta, GA","1950","04","02","Married","Joan Eskew","Grantville, GA","3 children ;  7 grandchildren ","BAP","Baptist",5,"White/Caucasian","Y","US Representative for Georgia District 3",21859,"Republican Leader, GA State House of Representatives","2000-2003","Member, GA State House of Representatives","1992-2004","REL","Licensed Real Estate Broker","BUS","Founder","Georgia State University","Att.","1971","Terrell High School (GA)","","1968","","","","","","","","","","Rep. Lynn Westmoreland","US Representative","Room 2433","RHOB- Rayburn House Office Building","Independence Avenue and 1st Street, SW","","Washington, DC 20515-1008","","http://www.westmoreland.house.gov/index.php?option=com_content&view=article&id=591:how-can-i-help-you-today&catid=13:contact","http://westmoreland.house.gov","","http://www.facebook.com/pages/Congressman-Lynn-Westmoreland/71389451419","http://twitter.com/repwestmoreland","http://www.youtube.com/user/RepLynnWestmoreland","Images\Photos\FLE\H","Westmoreland_Lynn_193800.jpg"
7654,378573,"FLE","H",,"HI","Hawaii","02","","",,76.799999999999997,"11/6/2012","","G","H2HI02508",,,,,,,,,1,"Unofficial Results",1370,1849,"D","Tulsi","Gabbard","","Tulsi","Ms.","","US Representative Elect","","F","Tulsi Gabbard","","Leloaloa, A.S.","1981","04","12","Divorced","","Honolulu, HI","","HIN","Hinduism",7,"Hawaiian/Pacific Islander","","",,"Member, Honolulu City Council","2011-2012","Member, HI State House","2002-2004","PUB","Legislative Assistant","BUS","Owner","Hawaii Pacific University","B.A.","2009","","","","","","","HI Natinal Guard","","2003-Current","","","","Ms. Tulsi Gabbard","US Representative Elect","","","PO Box 75561","","Kapolei, HI 96707-0561","tulsi@tulsigabbard.com","http://votetulsi.com/contact","http://votetulsi.com/","","http://www.facebook.com/VoteTulsi","http://twitter.com/tulsigabbard","","Images\Photos\FLE\H","Gabbard_Tulsi_378573.jpg"
