"UID","PID","LEGTYPE","CHAMBER","CHAMBERRANK","STATECODE","STATE","DISTRICT","DISTRAIL","DISTYPE","PARTYRANK","PERCENTVOT","ELECTDATE","REELECTYR","ELECTCODE","FECLINK","PYRACUSC","CYRACUSC","PYRADASC","CYRADASC","PYRAFLSC","CYRAFLSC","PYRUSCOSC","CYRUSCOSC","STATUSID","STATUS","DISTRICTID","SEATID","PARTYCODE","FIRSTNAME","LASTNAME","MIDNAME","NICKNAME","PREFIX","GENSUFFIX","TITLE","PROFSUFFIX","GENDER","LEGALNAME","PRONUNCTON","BIRTHPLACE","BIRTHYEAR","BIRTHMONTH","BIRTHDATE","MARITAL","SPOUSE","RESIDENCE","FAMILY","RELIGCODE","RELIGION","ETHCODE","ETHNICS","INCUMBENT","CUROFC","CUROFCUID","REOFC1","REOFC1DATE","REOFC2","REOFC2DATE","RECOCCODE1","RECENTOCC1","RECOCCODE2","RECENTOCC2","SCHOOL1","DEGREE1","EDUDATE1","SCHOOL2","DEGREE2","EDUDATE2","SCHOOL3","DEGREE3","EDUDATE3","MILBRANCH1","MILRANK1","MILDATES1","MILBRANCH2","MILRANK2","MILDATES2","MAILNAME","MAILTITLE","MAILADDR1","MAILADDR2","MAILADDR3","MAILADDR4","MAILADDR5","EMAIL","WEBFORM","WEBSITE","WEBLOG","FACEBOOK","TWITTER","YOUTUBE","PHOTOPATH","PHOTOFILE"
7377,193908,"SLE","S",,"HI","Hawaii","016","","",,72.400000000000006,"11/6/2012","","G","",,,,,,,,,1,"Unofficial Results",1437,1918,"D","David","Ige","Y.","David","Sen.","","Hawaii Senator","","M","David Y. Ige","","Pearl City, HI","1957","01","15","Married","Dawn","Pearl City, HI","3 children","","",4,"Asian/Pacific American","Y","State Legislator for Hawaii Senate District 16",28070,"Senate Majority Technology Leader, HI State Senate","2011","Majority Floor Leader, HI State Senate","2008","BUS","Project Manager","ENG","Vice President of Engineering","University of Hawaii, Manoa","M.B.A.","1985","University of Hawaii, Manoa","B.S.","1979","Pearl City High School","","1975","","","","","","","Sen. David Ige","Hawaii Senator","Room 208","State Capitol","415 South Beretania Street","","Honolulu, HI 96813","sendige@capitol.hawaii.gov","","http://www.capitol.hawaii.gov/memberpage.aspx?member=ige","","http://www.facebook.com/senatordavidige","http://twitter.com/#!/davidige","","Images\Photos\SLE\HI\S","Ige_David_193908.jpg"
7393,211940,"SLE","H",,"HI","Hawaii","007","","",,100,"11/6/2012","","G","",,,,,,,,,1,"Unofficial Results",1377,1856,"D","Cynthia","Evans","F.W.","Cindy","Rep.","","Hawaii Representative","","F","Cynthia F.W. Evans","","Urbana, IL","1952","07","26","Married","Ricky Evans","Waikoloa, HI","","","",5,"White/Caucasian","Y","State Legislator for Hawaii House District 07",32315,"Majority Floor Leader, HI State House of Representatives","2011-Current","Member, Waikoloa Village Outdoor Circle","2000-2002","BUS","Development Executive","LAB","Union Steward","Flemming Leadership Institute","","2005","Western Legislative Academy","","2003","Evergreen State College (WA)","B.A.","2003","","","","","","","Rep. Cynthia Evans","Hawaii Representative","Room 425","State Capitol","415 South Beretania Street","","Honolulu, HI 96813","repevans@capitol.hawaii.gov","","http://www.capitol.hawaii.gov/memberpage.aspx?member=evans","","","http://twitter.com/RepCindyEvans","","Images\Photos\SLE\HI\H","Evans_Cynthia_211940.jpg"
7409,271961,"SLE","H",,"HI","Hawaii","023","","",,71.900000000000006,"11/6/2012","","G","",,,,,,,,,1,"Unofficial Results",1393,1872,"D","Isaac","Choy","W.","Isaac","Rep.","","Hawaii Representative Elect","","M","Isaac W. Choy","","Tokyo, Japan","","","","Married","Laurie M. Shinjo","Manoa, HI","3 children ","CHC","Christian Church",4,"Asian/Pacific American","","State Legislator for Hawaii House District 24",32319,"Chair, Hawaii Tax Review Commission","2005-2007","","","BUS","Accountant, Principal, Founder","BUS","Certified Public Accountant, Chartered Life Underwriter","San Jose State University (CA)","B.S.","2005-2007","Roosevelt High School","","1971","","","","U.S. Marine Corps","","1971-1973","","","","Rep. Isaac Choy","Hawaii Representative Elect","Room 404","State Capitol","415 South Beretania Street","","Honolulu, HI 96813","repchoy@capitol.hawaii.gov","","http://www.capitol.hawaii.gov/memberpage.aspx?member=choy","","","","","Images\Photos\SLE\HI\H","Choy_Isaac_271961.jpg"
7424,299482,"SLE","H",,"HI","Hawaii","039","","",,70.299999999999997,"11/6/2012","","G","",,,,,,,,,1,"Unofficial Results",1409,1889,"D","Ty","Cullen","J.K.","Ty","Rep.","","Hawaii Representative Elect","","M","Ty J.K. Cullen","","","","","","","","Waipahu, HI","","","",7,"Hawaiian/Pacific Islander","","State Legislator for Hawaii House District 41",34525,"Member, Kahana Valley Strategic Planning","2010","Candidate, HI State House of Representatives","2008","EDU","Teaching Assistant","BUS","Intern","Crisis Prevention Institute","","2008","University of Hawaii, Manoa","M.P.A.","2008","University of Hawaii, Manoa","B.A.","2008","","","","","","","Rep. Ty Cullen","Hawaii Representative Elect","Room 316","State Capitol","415 South Beretania Street","","Honolulu, HI 96813","repcullen@capitol.hawaii.gov","","http://www.capitol.hawaii.gov/memberpage.aspx?member=cullen","","http://www.facebook.com/pages/Representative-Ty-Cullen/156587757739824","","","Images\Photos\SLE\HI\H","Cullen_Ty_299482.jpg"
7441,340114,"SLE","S",,"UT","Utah","010","","",,100,"11/6/2012","","G","",,,,,,,,,1,"Unofficial Results",6398,7280,"R","Aaron","Osmond","V.","Aaron","Sen.","","Utah Senator","","M","Aaron V. Osmond","","Provo, UT","1971","","","Married","Nancy","South Jordan, UT","5 children ","MOR","Mormon",5,"White/Caucasian","Y","State Legislator for Utah Senate District 10",34650,"Member, Provo Planning Commission","2013","Member, Provo City Board of Adjustments","2013","BUS","Chief Executive Officer","","","University of Phoenix (AZ)","B.S.","1997","Timpview High School","","1988","","","","","","","","","","Sen. Aaron Osmond","Utah Senator","","State Capitol","PO Box 145115","","Salt Lake City, UT 84114-5115","aosmond@le.utah.gov","","http://www.utahsenate.org/aspx/senmember.aspx?dist=10","","http://www.facebook.com/aaronvosmond","http://twitter.com/avosmond","","Images\Photos\SLE\UT\S","Osmond_Aaron_340114.jpg"
7457,215779,"SLE","H",,"UT","Utah","005","","",,84.400000000000006,"11/6/2012","","G","",,,,,,,,,1,"Unofficial Results",6318,7200,"R","R. Curt","Webb","","Curt","Rep.","","Utah Representative","","M","R. Curt Webb","","Lehi, UT","1949","10","25","Married","Micheale","Providence, UT","3 children ","MOR","Mormon",5,"White/Caucasian","Y","State Legislator for Utah House District 05",34917,"Member, UT Title and Escrow Commission","1973","Member, UT Appraiser Board","1973","BUS","Owner","","","Utah State University","B.A.","1973","","","","","","","","","","","","","Rep. R. Curt Webb","Utah Representative","Suite 350","State Capitol ","350 North State Street","","Salt Lake City, UT 84114","curtwebb@le.utah.gov","","http://www.le.state.ut.us/house2/detail.jsp?i=WEBBRC","","","","","Images\Photos\SLE\UT\H","Webb_RCurt_215779.jpg"
7472,268633,"SLE","H",,"UT","Utah","020","","",,75.799999999999997,"11/6/2012","","G","",,,,,,,,,1,"Unofficial Results",6333,7215,"R","Rebecca","Edwards","P.","Becky","Rep.","","Utah Representative","","F","Rebecca P. Edwards","","Manhattan, KS","1960","09","02","Married","John Edwards","North Salt Lake City, UT","4 children; 1 grandchild","","",5,"White/Caucasian","Y","State Legislator for Utah House District 20",34697,"President, Davis County Medical Alliance","1981","","","MED","Outpatient Family Therapist and Social Work Trauma Coordinator","HOM","Former Marriage and Family Therapist","Brigham Young University (UT)","M.S.","1981","Brigham Young University (UT)","M.S.W.","1981","Brigham Young University (UT)","B.S.","1981","","","","","","","Rep. Rebecca Edwards","Utah Representative","Suite 350","State Capitol ","350 North State Street","","Salt Lake City, UT 84114","beckyedwards@le.utah.gov","","http://www.le.state.ut.us/house2/detail.jsp?i=EDWARRP","","","http://twitter.com/utahbecky","","Images\Photos\SLE\UT\H","Edwards_Rebecca_268633.jpg"
7488,199344,"SLE","H",,"UT","Utah","036","","",,60,"11/6/2012","","G","",,,,,,,,,1,"Unofficial Results",6349,7231,"D","Patrice","Arent","M.","Patrice","Rep.","","Utah Representative","","F","Patrice M. Arent","","Salt Lake City, UT","1956","02","03","Married","Arthur G. Lipman","Salt Lake City, UT","2 children","JEW","Jewish",5,"White/Caucasian","Y","State Legislator for Utah House District 36",34700,"National Committeewoman, UT Democratic Party","1989","Member, UT State Senate","2002-2006","PUB","Associate General Counsel","LAW","Division Chief","Cornell University School of Law (NY)","J.D.","1981","University of Utah","B.S.","1978","","","","","","","","","","Rep. Patrice Arent","Utah Representative","Suite 350","State Capitol ","350 North State Street","","Salt Lake City, UT 84114","parent@le.utah.gov","","http://www.le.state.ut.us/house2/detail.jsp?i=ARENTPM","","","","","Images\Photos\SLE\UT\H","Arent_Patrice_199344.jpg"
7503,214113,"SLE","H",,"UT","Utah","051","","",,69.5,"11/6/2012","","G","",,,,,,,,,1,"Unofficial Results",6364,7246,"R","Greg","Hughes","H.","Greg","Rep.","","Utah Representative","","M","Greg H. Hughes","","","","10","13","Married","Krista","Draper, UT","3 children","","",5,"White/Caucasian","Y","State Legislator for Utah House District 51",34703,"Majority Whip, UT State House of Representatives","2012-Current","Co-Chair, Department of Professional Licensing Review Panel","2012-Current","ENG","Construction and Property Management","","","Brigham Young University (UT)","","2012-Current","Utah Valley State College (UT)","","2012-Current","","","","","","","","","","Rep. Greg Hughes","Utah Representative","Suite 350","State Capitol ","350 North State Street","","Salt Lake City, UT 84114","greghughes@le.utah.gov","","http://www.le.state.ut.us/house2/detail.jsp?i=HUGHEGH","","http://www.facebook.com/pages/Rep-Greg-Hughes/116529081344","http://twitter.com/RepGregHughes","","Images\Photos\SLE\UT\H","Hughes_Greg_214113.jpg"
7522,249495,"SLE","H",,"UT","Utah","070","","",,73.5,"11/6/2012","","G","",,,,,,,,,1,"Unofficial Results",6383,7265,"R","Kay","McIff","L.","Kay","Rep.","","Utah Representative","","M","Kay L. McIff","","","","09","21","Married","Renee","Richfield, UT","","","",5,"White/Caucasian","Y","State Legislator for Utah House District 70",22883,"","","","","PUB","Presiding Judge","LAW","Attorney, Partner","University of Utah Law School","J.D.","2010-2010","Utah State University","B.S.","2010-2010","","","","","","","","","","Rep. Kay McIff","Utah Representative","Suite 350","State Capitol ","350 North State Street","","Salt Lake City, UT 84114","kaymciff@le.utah.gov","","http://www.le.state.ut.us/house2/detail.jsp?i=MCIFFKL","","","","","Images\Photos\SLE\UT\H","McIff_Kay_249495.jpg"
