"UID","PID","LEGTYPE","CHAMBER","CHAMBERANK","STATECODE","STATE","DISTRICT","DISTRAIL","DISTYPE","PARTYRANK","PERCENTVOT","ELECTDATE","REELECTYR","ELECTCODE","FECLINK","PYRACUSC","CYRACUSC","PYRADASC","CYRADASC","PYRAFLSC","CYRAFLSC","PYRUSCOSC","CYRUSCOSC","SEATSTCODE","SEATSTAT","DISTRICTID","SEATID","PARTYCODE","FIRSTNAME","LASTNAME","MIDNAME","NICKNAME","PREFIX","GENSUFFIX","TITLE","PROFSUFFIX","GENDER","LEGALNAME","PRONUNCTON","BIRTHPLACE","BIRTHYEAR","BIRTHMONTH","BIRTHDATE","MARITAL","SPOUSE","RESIDENCE","FAMILY","RELIGCODE","RELIGION","ETHCODE","ETHNICS","REOFC1","REOFC1DATE","REOFC2","REOFC2DATE","RECOCCODE1","RECENTOCC1","RECOCCODE2","RECENTOCC2","SCHOOL1","DEGREE1","EDUDATE1","SCHOOL2","DEGREE2","EDUDATE2","SCHOOL3","DEGREE3","EDUDATE3","MILBRANCH1","MILRANK1","MILDATES1","MILBRANCH2","MILRANK2","MILDATES2","MAILNAME","MAILTITLE","MAILADDR1","MAILADDR2","MAILADDR3","MAILADDR4","MAILADDR5","EMAIL","WEBFORM","WEBSITE","WEBLOG","FACEBOOK","TWITTER","YOUTUBE","PHOTOPATH","PHOTOFILE"
21768,211738,"FL","H",334,"CA","California","01","","",11,61,"2012","2016","G","H2CA02142",0,0,0,0,0,14,0,77,"AOK","Normal",416,850,"R","Doug","LaMalfa","","Doug","Rep.","","US Representative","","M","Doug LaMalfa","luh-MAL-fuh","Oroville, CA","1960","07","02","Married","Jill","Richvale, CA","4 children ","EVA","Evangelical",5,"White/Caucasian","Senate Minority Whip, CA State Senate","2012","Member, CA State Senate","2010-2012","BUS","Owner-Partner","AGR","Rice Farmer","California Polytechnic State University, San Luis Obispo","B.S.","1982","Butte College (CA)","A.A.","1980","","","","","","","","","","Rep. Doug LaMalfa","US Representative","Room 322","CHOB- Cannon House Office Building","25 Independence Avenue, SE","","Washington, DC 20515-0501","","http://lamalfa.house.gov/contact/email-me","http://lamalfa.house.gov/","","http://www.facebook.com/RepLaMalfa","http://twitter.com/RepLaMalfa","http://www.youtube.com/user/RepLaMalfa","Images\Photos\FL\H","LaMalfa_Doug_211738.jpg"
21781,192997,"FL","H",188,"CA","California","14","","",21,76.700000000000003,"2008","2016","G","H8CA12171",0,0,90,85,98,96,40,35,"AOK","Normal",429,863,"D","Jackie","Speier","","Jackie","Rep.","","US Representative","","F","Karen Lorraine Jacqueline Speier","SPEAR","San Francisco, CA","1950","05","14","Married","Barry Dennis","Hillsborough, CA","2 children","ROC","Roman Catholic",5,"White/Caucasian","Ranking Minority Member, U.S. House Subcommittee on Energy Policy, Health Care and Entitlements","2014","Member (CA12 D), U.S. House of Representatives","1987-2013","PUB","Legislative Counsel","PUB","Staff Assistant","University of California Hastings College of Law","J.D.","1976","University of California, Davis","B.A.","1972","Mercy High School (CA)","","1972","","","","","","","Rep. Jackie Speier","US Representative","Room 2465","RHOB- Rayburn House Office Building","50 Independence Avenue, SW","","Washington, DC 20515-0514","","http://forms.house.gov/speier/webforms/email_jackie.shtml","http://speier.house.gov","","http://www.facebook.com/JackieSpeier","http://twitter.com/RepSpeier","http://www.youtube.com/user/JackieSpeierCA12","Images\Photos\FL\H","Speier_Jackie_192997.jpg"
21797,397292,"FL","H",377,"CA","California","31","","",36,51.700000000000003,"2014","2016","G","H2CA31125",0,0,0,0,0,0,0,0,"AOK","Normal",446,880,"D","Peter","Aguilar","","Pete","Rep.","","US Representative","","M","Peter R. Aguilar","ah-gee-LAR","Fontana, CA","1979","06","19","Married","Alisha","Redlands, CA","2 children ","ROC","Roman Catholic",2,"Hispanic/Latino","Candidate (CA31), U.S. House of Representatives","2012-2012","Mayor, Redland, CA","2010-2014","PUB","Deputy Director, then Interim Director, Inland Empire Regional Office","BUS","Small business owner","University of Redlands (CA)","B.R.E.","2001","Yucaipa High School (CA)","","2001","","","","","","","","","","Rep. Peter Aguilar","US Representative","Room 1223","LHOB- Longworth House Office Building","15 Independence Avenue, SE","","Washington, DC 20515-0531","","https://aguilar.house.gov/contact/email","http://aguilar.house.gov/","","http://www.facebook.com/reppeteaguilar","http://twitter.com/reppeteaguilar","","Images\Photos\FL\H","Aguilar_Peter_397292.jpg"
21814,158762,"FL","H",24,"CA","California","48","","",1,64.099999999999994,"1988","2016","G","H8CA42061",0,0,20,20,12,12,83,82,"AOK","Normal",463,897,"R","Dana","Rohrabacher","T.","Dana","Rep.","","US Representative","","M","Dana Tyrone Rohrabacher","ROAR-uh-bah-kur","Coronado, CA","1947","06","21","Married","Rhonda Carmony","Huntington Beach, CA","3 children (triplets)","BAP","Baptist",5,"White/Caucasian","Vice Chair, U.S. House Committee on Science, Space, and Technology","2014","Chairman, U.S. House Subcommittee on Europe, Eurasia, and Emerging Threats","2014","JOU","Editorial Writer","JOU","Report and Staff Member","University of Southern California","M.A.","1975","California State University, Long Beach","B.A.","1969","Los Angeles Harbor College (CA)","Att.","1967","","","","","","","Rep. Dana Rohrabacher","US Representative","Room 2300","RHOB- Rayburn House Office Building","50 Independence Avenue, SW","","Washington, DC 20515-0548","","http://rohrabacher.house.gov/contact/email-me","http://rohrabacher.house.gov","","http://www.facebook.com/danarohrabacher","http://twitter.com/DanaRohrabacher","http://www.youtube.com/user/RepDanaRohrabacher","Images\Photos\FL\H","Rohrabacher_Dana_158762.jpg"
21833,209633,"FL","H",236,"DE","Delaware","01","","",1,59.299999999999997,"2010","2016","G","H0DE01017",0,0,80,65,88,87,50,50,"AOK","Normal",888,1328,"D","John","Carney","C.","John","Rep.","Jr.","US Representative","","M","John Charles Carney Jr.","KAR-nee","Wilmington, DE","1956","05","20","Married","Tracey Quillen","Wilmington, DE","2 children","ROC","Roman Catholic",5,"White/Caucasian","Chair, DE Center for Education Technology","1960","Candidate, Nomination for DE Governor","2008","BUS","President and Chief Operating Officer","PUB","Deputy Chief of Staff","University of Delaware","M.P.A.","1987","Dartmouth College (NH)","B.A.","1978","St. Mark's High School (DE)","","1978","","","","","","","Rep. John Carney Jr.","US Representative","Room 1406","LHOB- Longworth House Office Building","15 Independence Avenue, SE","","Washington, DC 20515-0801","","http://forms.house.gov/carney/webforms/email-me.shtml","http://johncarney.house.gov/","","http://www.facebook.com/JohnCarneyDE","http://twitter.com/johncarneyde","http://www.youtube.com/user/RepJohnCarney","Images\Photos\FL\H","Carney_John_209633.jpg"
21854,248601,"FL","H",222,"FL","Florida","21","","",5,99.599999999999994,"2010","2016","G","H0FL19080",0,0,80,90,98,96,25,31,"AOK","Normal",988,1430,"D","Ted","Deutch","E.","Ted","Rep.","","US Representative","","M","Theodore Eliot Deutch","doych","Bethlehem, PA","1966","05","07","Married","Jill","West Boca Raton, FL","3 children (twins)","JEW","Jewish",5,"White/Caucasian","Ranking Minority Member, U.S. House Subcommittee on the Middle East and North Africa","2014","Staff, Joe Lieberman Presidential Campaign","2014","LAW","Attorney and Partner","","","University of Michigan Law School","J.D.","1990","University of Michigan","B.A.","1988","","","","","","","","","","Rep. Ted Deutch","US Representative","Room 2447","RHOB- Rayburn House Office Building","50 Independence Avenue, SW","","Washington, DC 20515-0921","","https://teddeutch.house.gov/forms/writeyourrep/","http://teddeutch.house.gov/","","http://www.facebook.com/CongressmanTedDeutch","http://twitter.com/repteddeutch","http://www.youtube.com/user/CongressmanTedDeutch","Images\Photos\FL\H","Deutch_Ted_248601.jpg"
21872,378476,"FL","H",383,"IA","Iowa","01","","",2,51.100000000000001,"2014","2016","G","H2IA01055",0,0,0,0,0,0,0,0,"AOK","Normal",1874,2398,"R","Rodney","Blum","L.","Rod","Rep.","","US Representative","","M","Rodney Leland Blum","bu-lu-m","Dubuque, IA","1955","04","26","Married","Karen","Dubuque, IA","4 children ; 1 stepchild ","EPI","Episcopalian",5,"White/Caucasian","Candidate (IA01), U.S. House of Representatives","2012-2012","Chairman, Dubuque County Republican Party","1995-1997","REL","Real Estate Developer","EDU","Basketball Coach","University of Dubuque (IA)","M.B.A.","1985","Loras College (IA)","B.B.A.","1977","","","","","","","","","","Rep. Rodney Blum","US Representative","Room 213","CHOB- Cannon House Office Building","25 Independence Avenue, SE","","Washington, DC 20515-1501","","http://blum.house.gov/contact/email","http://blum.house.gov/","","http://www.facebook.com/congressmanrodblum","http://twitter.com/RepRodBlum","http://www.youtube.com/channel/UCACYUrK1zFAZzKcmz9ibEAg","Images\Photos\FL\H","Blum_Rodney_378476.jpg"
21889,194400,"FL","H",384,"IL","Illinois","12","","",7,52.5,"2014","2016","G","H4IL12060",0,0,0,0,0,0,0,0,"AOK","Normal",1530,2050,"R","Mike","Bost","","Mike","Rep.","","US Representative","","M","Michael J. Bost","b AH s t","Murphysboro, IL","1960","12","30","Married","Tracy Stanton","Murphysboro, IL","3 children; 9 grandchildren","SBP","Southern Baptist",5,"White/Caucasian","Minority Spokesperson, IL State House Committee on Public Utilities","2014","House Minority Caucus Chair, IL State House","2014","BUS","Co-Owner (with wife)","VOL","Certified Firefighter","IL Fire Fighter II Academy","","1993","University of Illinois (IL)","","1993","Murphysboro High School","","1979","U.S. Marine Corps, Electronic Specialist, Radar Repairman","CPL-E4","1979-1982","","","","Rep. Mike Bost","US Representative","Room 1440","LHOB- Longworth House Office Building","15 Independence Avenue, SE","","Washington, DC 20515-1312","","http://bost.house.gov/contact/email","http://bost.house.gov/","","http://www.facebook.com/RepBost","http://twitter.com/repBost","http://www.youtube.com/channel/UCYA1psY06vSf3QadHuCrmjQ","Images\Photos\FL\H","Bost_Mike_194400.jpg"
21908,194590,"FL","H",258,"KS","Kansas","01","","",2,67.900000000000006,"2010","2016","G","H6KS01146",0,0,0,35,8,8,83,78,"AOK","Normal",2029,2555,"R","Tim","Huelskamp","A.","Tim","Rep.","","US Representative","Dr.","M","Timothy A. Huelskamp","HYOOLZ-kamp","Fowler, KS","1968","11","11","Married","Angela","Fowler, KS","4 adopted children","CAT","Catholic",5,"White/Caucasian","Vice Chair, KS State Joint Committee on Information Technology","2010","Member, KS State Senate","1996-2010","BUS","Internet Entrepreneur","AGR","Farmer and Rancher","American University (DC)","Ph.D.","1995","College of Santa Fe (NM)","B.A.","1991","Fowler High School (KS)","","1991","","","","","","","Rep. Tim Huelskamp","US Representative","Room 1110","LHOB- Longworth House Office Building","15 Independence Avenue, SE","","Washington, DC 20515-1601","","https://huelskamp.house.gov/contact/email-me","http://huelskamp.house.gov/","","http://www.facebook.com/congressmanhuelskamp","http://twitter.com/conghuelskamp","http://www.youtube.com/user/congressmanhuelskamp","Images\Photos\FL\H","Huelskamp_Tim_194590.jpg"
21923,160828,"FL","H",396,"LA","Louisiana","06","","",5,62,"2014","2016","G","H4LA06153",0,0,0,0,0,0,0,0,"AOK","Normal",2351,2877,"R","Garret","Graves","N.","Garret","Rep.","","US Representative","","M","Garret N. Graves","grayvz","Baton Rouge, LA","1972","01","31","Married","Carissa","Baton Rouge, LA","3 children ","ROC","Roman Catholic",5,"White/Caucasian","Director of Office of Coastal Activities, Office of Gov. Bobby Jindal","2010","","","PUB","Chair","PUB","Director of Office of Coastal Activities","American University (DC)","Att.","1996","Louisiana Tech University","Att.","1995","Alabama University","Att.","1991","","","","","","","Rep. Garret Graves","US Representative","Room 204","CHOB- Cannon House Office Building","25 Independence Avenue, SE","","Washington, DC 20515-1806","","http://garretgraves.house.gov/contact/email","http://garretgraves.house.gov/","","http://www.facebook.com/CongressmanGarretGraves","http://twitter.com/RepGarretGraves","","Images\Photos\FL\H","Graves_Garret_160828.jpg"
